company_id,row_type,cumulativeFunding_year,cumulativeFunding_value
107,cumulativeFunding,2019,230000
107,cumulativeFunding,2020,230000
107,cumulativeFunding,2021,230000
107,cumulativeFunding,2022,230000
107,cumulativeFunding,2023,230000
107,cumulativeFunding,2024,230000
107,cumulativeFunding,2025,230000
107,cumulativeFunding,,230000
108,cumulativeFunding,2009,241554
108,cumulativeFunding,2010,956252
108,cumulativeFunding,2011,1663537
108,cumulativeFunding,2012,2076557
108,cumulativeFunding,2013,2447961
108,cumulativeFunding,2014,2729164
108,cumulativeFunding,2015,3169599
108,cumulativeFunding,2016,3464306
108,cumulativeFunding,2017,3464306
108,cumulativeFunding,2018,3464306
108,cumulativeFunding,2019,3464306
108,cumulativeFunding,2020,3464306
108,cumulativeFunding,2021,3464306
108,cumulativeFunding,2022,3464306
108,cumulativeFunding,2023,3464306
108,cumulativeFunding,2024,3464306
108,cumulativeFunding,2025,3464306
108,cumulativeFunding,,3464306
110,cumulativeFunding,2019,
110,cumulativeFunding,2020,
110,cumulativeFunding,2021,
110,cumulativeFunding,2022,7000000
110,cumulativeFunding,2023,7000000
110,cumulativeFunding,2024,7000000
110,cumulativeFunding,2025,7000000
110,cumulativeFunding,,7000000
113,cumulativeFunding,2024,28000000
113,cumulativeFunding,2025,28000000
113,cumulativeFunding,,28000000
115,cumulativeFunding,2017,3000000
115,cumulativeFunding,2018,3000000
115,cumulativeFunding,2019,3000000
115,cumulativeFunding,2020,3000000
115,cumulativeFunding,2021,3000000
115,cumulativeFunding,2022,3000000
115,cumulativeFunding,2023,3000000
115,cumulativeFunding,2024,3000000
115,cumulativeFunding,2025,3000000
115,cumulativeFunding,,3000000
117,cumulativeFunding,2018,11000000
117,cumulativeFunding,2019,11000000
117,cumulativeFunding,2020,11000000
117,cumulativeFunding,2021,11000000
117,cumulativeFunding,2022,11000000
117,cumulativeFunding,2023,11000000
117,cumulativeFunding,2024,11000000
117,cumulativeFunding,2025,11000000
117,cumulativeFunding,,11000000
118,cumulativeFunding,2020,
118,cumulativeFunding,2021,7000000
118,cumulativeFunding,2022,7000000
118,cumulativeFunding,2023,7000000
118,cumulativeFunding,2024,7000000
118,cumulativeFunding,2025,7000000
118,cumulativeFunding,,7000000
123,cumulativeFunding,2021,910000
123,cumulativeFunding,2022,910000
123,cumulativeFunding,2023,910000
123,cumulativeFunding,2024,910000
123,cumulativeFunding,2025,910000
123,cumulativeFunding,,910000
125,cumulativeFunding,2024,2700000
