company_id,row_type,investor_id,investor_name,investor_position
6507,company_investor,17732,Rani Shifron,VP Business Development
6507,company_investor,17733,Shahar Yaron,VP Product
6507,company_investor,17734,Rakefet  Shohat,VP Quality & Regulation
6507,company_investor,17735,Yair Deitcher,VP R&D
6509,company_investor,17736,Yuval Cinnamon,Co-founder & CSO
6509,company_investor,11875,Eli Mor,Co-founder & President
6509,company_investor,17737,Eytan Meisels,VP Regulatory Affairs
6510,company_investor,17738,Orna Dreazen,Founder & CEO
6510,company_investor,17739,Hilla Ben-David,CTO
6510,company_investor,17740,Shlomit Kenigsberg,VP of Business Development
6511,company_investor,17741,Daniel Kushner,Co-founder & CEO
6512,company_investor,17487,Shiran Danoch,Founder & CEO
6513,company_investor,17742,Gabriel  Miodownik,President & CEO
6513,company_investor,17743,Simcha Blass,Co-founder (No longer with the company)
6513,company_investor,17744,Danny Retter,Co-founder (No longer with the company)
6513,company_investor,17745,Tzvikie Keren,Co-founder (No longer with the company)
6513,company_investor,17746,Avinoam Ron,Co-founder (No longer with the company)
6513,company_investor,17747,Uri Werber,Co-founder (No longer with the company)
6511,company_investor,17748,Liad Guez,Co-founder & VP Product
6511,company_investor,17749,Natalie Binns,VP Marketing
6511,company_investor,17750,Ben  Green,VP Operations
6514,company_investor,17751,Yohai Rayfeld,Co-founder & Chairman
6514,company_investor,17752,Roei Levav,Co-founder & CEO
6514,company_investor,17753,Ohad Galor Kimchi,Co-founder (No longer with the company)
6514,company_investor,17754,Gal Ginio,COO
6514,company_investor,17755,Alon Elmaliah,CTO
6514,company_investor,160,Ori Cohen,CTO
6515,company_investor,17756,Elan Nyer,Founder & CEO
6515,company_investor,17757,Sumit Mishra,CTO
6515,company_investor,17758,Matt Kendzior,Head of Marketing
6516,company_investor,17759,Prof. Ehud Davidson,Chairman of the Board
6516,company_investor,17760,Yaacov Guttman,Board Member
6516,company_investor,17761,Eti Mitrany,"Board member, Expert un Global Business Development"
6516,company_investor,17762,Micha Avnimelech,Member of the Board
6516,company_investor,17763,Eli Antopolsky,Founder & CEO
6517,company_investor,17764,Daniel Shichman,Co-founder & CEO
6516,company_investor,17765,Tsahi Grinberg,CTO
6517,company_investor,17766,Hy Gal,Co-founder & COO
6517,company_investor,17767,Shmulik Yoffe,Co-founder & CTO
6517,company_investor,17768,Aviv Arnon,Co-founder & VP BD
6517,company_investor,17769,Shani Goldman,EBM
6517,company_investor,17770,Dana Brindt,Marketing Operations
6518,company_investor,17771,Erez Yosepov,Founder
6519,company_investor,17772,Yael Almor - Lion,"Co-founder, CPO & Deputy CEO"
6519,company_investor,17773,Shmulik Kordova,Co-founder & COO
6520,company_investor,17774,Matthew Hertz,Founder & CEO
6520,company_investor,17775,Lev  Ferdinskoif,CRO
6520,company_investor,17776,Ariel Harkham,VP Strategic Accounts
6521,company_investor,17777,Ido Braker,CEO
6521,company_investor,17778,Osnat   Yanai,COO
6522,company_investor,17779,David Gruzman,Co-Founder & CEO
6522,company_investor,17780,Boris Sorochkin,Co-Founder & COO
6522,company_investor,17781,Elena Viter,Co-Founder & CTO
6523,company_investor,17782,Dan Koller,Co-founder & Chairman Of The Board
6523,company_investor,17783,Netta Marrom,"Founder, CEO & President"
6523,company_investor,17784,Isaac Beeri,Co-founder
6523,company_investor,17785,Shykeh Ben Ishai,Co-founder & CTO
6523,company_investor,17786,Yochai Elani,Chief Operating Officer (COO)
6523,company_investor,17787,Jeny Kofman,
6524,company_investor,17788,Liron Carmel,CEO
6525,company_investor,17789,Oded Turbahn,Consultant / GM Israel
6525,company_investor,17790,Ofri Yaday,Market Development Associate
6526,company_investor,17791,Josh Gottesman,Co-Founder & CEO
6526,company_investor,17792,Ravid Israel,Co-Founder & CPO
6526,company_investor,17793,Dana Averbuch,CTO
6524,company_investor,4850,Elazar Sonnenschein,Founder
6524,company_investor,4852,Lior Lurie,Business Development Manager
6527,company_investor,17794,Itzik  Alvas,Co-founder & CEO
6527,company_investor,17795,Adam  Cheriki,Co-founder & CTO
6527,company_investor,17796,Nirit  Icekson,VP of Marketing
6528,company_investor,8396,Avi Cohen,Co-founder & CEO
6528,company_investor,17797,Moises  Cohen,Co-founder & CPO
6528,company_investor,17798,Gil Devora,Co-founder (No longer with the company)
6529,company_investor,17799,Sagi  Menuhin,Co-founder & CEO
6529,company_investor,14738,Ilan  Tsinman,Co- founder & CMO
6529,company_investor,17800,Ido  Ramot,Co-founder (No longer with the company)
6529,company_investor,17801,Omri  Shmulewitz,Co-founder (No longer with the company)
6530,company_investor,17802,Sasha  Babitsky,CEO
6530,company_investor,17803,Anna  Halpern,Business Analyst
6530,company_investor,17804,Yulia  Matiuhin,R&D Leader
6531,company_investor,3426,Sharon  Bakalash,CEO
6532,company_investor,17805,Matan  Caspy,Co-founder & Head of Operations
6531,company_investor,17806,Itai Bar-Natan,CFO @ Bio Light
6531,company_investor,17807,Robert David,Chief Medical Officer
6532,company_investor,17808,Yuval  Levi,COO
6532,company_investor,16639,Eyal  Harari,VP Cyber Operations
6532,company_investor,17809,Gal Sharon,Sales Director
6533,company_investor,17810,Gal  Avidor,Co-founder & CEO
6534,company_investor,17811,Manfred Grumberg,CEO
6533,company_investor,17812,Oron  Zell,Co-founder & CBO
6533,company_investor,17813,Alik  Hochner,Co-founder & CTO
6535,company_investor,17814,Ayelet Carasso,Co-founder
6535,company_investor,17815,Ethy Levy,Co-founder
6536,company_investor,17816,Baruch Menchel,CEO
6536,company_investor,17817,Itzhak  Devir,Chief of Marketing & Business Operation
6537,company_investor,17818,Steve Elbaz,Co-founder & CBO
6537,company_investor,17819,Prof. Moshe Lellouche,Co-founder & CMO
6537,company_investor,17820,David Smadja,Co-founder & CMO
6537,company_investor,17821,Prof. Zeev Zalevsky,Co-founder & CMO
6537,company_investor,17822,Yifat Harel,Lab Head Manager
6538,company_investor,17823,Pini Kamari,Co-founder & CEO
6538,company_investor,17824,Erez Gal-Oz,Co-founder & COO
6538,company_investor,17825,Itay h-cohen,Co-founder & CTO
6539,company_investor,17826,Dotan Adler,Co-founder & CTO
6539,company_investor,17827,Amir Fligler,Co-founder & VP R&D
6539,company_investor,17828,Noam Harel,Marketing Manager
6540,company_investor,17829,Ben Cohen Gazit,Founder & CEO
6540,company_investor,17830,Dorit Moses,Head of Operations
6540,company_investor,17831,Sigahl  Silvera,Director of Global Communications
6541,company_investor,12714,Ofer Peleg,Deputy CEO
6541,company_investor,17832,Irit Shorer,Global Head of Human Resources 
6542,company_investor,650,Yossi Bornstein,Co-founder & Chairman
6542,company_investor,15739,Danny Albeck,Co-founder & CEO
6542,company_investor,17833,Prof. Claus Richter,Co-founder & CSO
